#{"t_start": 1721923208.5701215, "env_id": "Pendulum-v1"}
r,l,t
-1793.489323,200,0.166955
-839.246128,200,0.325963
-1136.577441,200,0.484927
-1327.45042,200,0.644265
-1479.2125,200,0.803639
-765.97643,200,0.962952
-1308.58784,200,1.122335
-1358.160115,200,1.281622
-1552.165059,200,1.440841
-1156.677892,200,1.60024
-1413.264345,200,5.842478
-1271.122789,200,6.002133
-1027.430346,200,6.161565
-1586.298316,200,6.3213
-838.705682,200,6.480738
-967.120676,200,6.640765
-1168.464853,200,6.799993
-894.219313,200,6.959446
-1311.491646,200,7.119258
-754.627194,200,7.278855
-904.343491,200,11.521133
-868.947592,200,11.680789
-1349.383767,200,11.840285
-1792.480357,200,11.999649
-878.929535,200,12.159131
-970.238984,200,12.318745
-760.926056,200,12.478019
-1750.462186,200,12.637459
-1621.00134,200,12.79677
-900.269461,200,12.956116
-967.742422,200,17.188858
-867.782843,200,17.348195
-776.454417,200,17.507
-892.76103,200,17.665981
-1691.119971,200,17.824958
-1302.32141,200,17.984167
-1395.365273,200,18.143193
-1501.673081,200,18.302493
-1421.918687,200,18.461415
-1566.500411,200,18.620549
-897.241217,200,22.856192
-913.859078,200,23.016401
-1077.388398,200,23.175922
-1462.091658,200,23.335246
-1316.241103,200,23.495034
-908.990354,200,23.654597
-860.923403,200,23.814199
-1108.500026,200,23.973802
-914.96546,200,24.133131
-1659.726118,200,24.292217
-876.100372,200,24.451528
-1019.229153,200,28.680729
-1019.29772,200,28.840118
-1820.66144,200,28.998975
-1073.320471,200,29.158128
-1175.710827,200,29.316772
-1086.502028,200,29.475797
-1549.293117,200,29.634643
-1193.096015,200,29.793419
-1022.141562,200,29.952283
-1269.480275,200,30.111461
-942.159004,200,34.304141
-1453.057288,200,34.463779
-973.99694,200,34.622787
-995.620115,200,34.782323
-1372.916889,200,34.941797
-1512.085214,200,35.100991
-975.086994,200,35.260195
-1304.652723,200,35.419297
-1590.735207,200,35.578654
-1387.386639,200,35.737764
-982.225993,200,39.982265
-1472.044961,200,40.142078
-991.118746,200,40.301748
-1616.317676,200,40.461334
-1723.217841,200,40.621267
-1082.368183,200,40.781167
-901.931892,200,40.940523
-776.427728,200,41.099649
-1028.233204,200,41.259361
-1082.154374,200,41.419048
-940.319125,200,45.654515
-1338.558276,200,45.814889
-1216.783747,200,45.974978
-1208.938626,200,46.134946
-1484.445954,200,46.294884
-1083.078182,200,46.455132
-1007.568725,200,46.615164
-887.005204,200,46.774943
-883.231718,200,46.934789
-1000.639758,200,47.094548
