#{"t_start": 1721926889.2646194, "env_id": "Pendulum-v1"}
r,l,t
-1248.276377,200,1.217957
-1373.988103,200,2.613356
-1818.019914,200,4.002388
-1551.612832,200,5.392389
-1394.949073,200,6.779185
-1630.175064,200,8.174291
-1297.440539,200,9.567066
-1202.3224,200,10.958639
-1340.803094,200,12.337102
-1150.000481,200,13.7158
-1053.584443,200,15.109181
-384.911246,200,16.500152
-762.73095,200,17.897793
-386.017515,200,19.293144
-782.69942,200,20.686979
-260.264117,200,22.081321
-130.563781,200,23.473207
-351.102686,200,24.867919
-379.021698,200,26.265571
-1.215478,200,27.665179
-396.637554,200,29.060802
-0.706427,200,30.455502
-124.102866,200,31.853606
-255.121327,200,33.249653
-126.796918,200,34.650299
-130.397452,200,36.048074
-129.290987,200,37.444719
-3.113682,200,38.840332
-124.319039,200,40.238896
-122.588096,200,41.636546
-119.815164,200,43.032187
-128.901502,200,44.428873
-128.569775,200,45.827498
-121.371738,200,47.224702
-118.924308,200,48.611755
-125.124856,200,50.001361
-0.630073,200,51.393044
-126.246201,200,52.77765
-123.901688,200,54.166312
-125.391198,200,55.548896
-118.215029,200,56.927389
-119.794045,200,58.311608
-118.874383,200,59.690652
-118.914821,200,61.07224
-115.413118,200,62.452953
-350.278121,200,63.833233
-115.425449,200,65.213594
-355.326365,200,66.592674
-243.700066,200,67.973279
-123.27031,200,69.351922
-119.154485,200,70.731498
-223.617377,200,72.10515
-122.713587,200,73.46927
-121.130381,200,74.850287
-232.300342,200,76.230254
-228.77976,200,77.608891
-121.343313,200,78.988133
-231.510991,200,80.366262
-120.797854,200,81.747552
-350.356465,200,83.135205
-123.655154,200,84.515303
-119.24039,200,85.897687
-120.5827,200,87.280711
-121.517288,200,88.662399
-237.055946,200,90.048933
-124.734516,200,91.430394
-2.036081,200,92.81447
-233.549038,200,94.19661
-223.793932,200,95.581931
-121.93618,200,96.966486
-123.532233,200,98.359687
-230.028531,200,99.75107
-116.170789,200,101.137034
-231.695426,200,102.525846
-297.03148,200,103.911948
-231.363499,200,105.301488
-125.404562,200,106.691536
-245.992432,200,108.084142
-125.559506,200,109.475678
-240.684065,200,110.865875
-228.899848,200,112.260986
-119.70431,200,113.652308
-116.91313,200,115.041806
-245.1439,200,116.43795
-241.479873,200,117.835546
-113.9948,200,119.237151
-116.994381,200,120.63448
-1.31439,200,122.027737
-240.899813,200,123.422128
-128.585494,200,124.81574
-113.934936,200,126.207566
-117.159395,200,127.603045
-238.237078,200,128.995569
-240.543753,200,130.388791
-119.4631,200,131.783824
-124.221702,200,133.156398
-128.207889,200,134.547738
-126.492293,200,135.940491
-118.135956,200,137.3334
-119.785421,200,138.726056
-119.078881,200,140.118317
-120.809943,200,141.509252
-0.999415,200,142.902579
-117.539249,200,144.295605
-1.513968,200,145.688071
-124.476117,200,147.081825
-119.360164,200,148.474049
-120.724928,200,149.865392
-119.907395,200,151.259581
-230.139999,200,152.653284
-115.297318,200,154.046629
-126.283542,200,155.440726
-121.636427,200,156.834949
-125.557733,200,158.227627
-119.607379,200,159.622122
-126.466097,200,161.009768
-125.565896,200,162.40202
-1.247289,200,163.79325
-232.411056,200,165.182428
-119.323619,200,166.573812
-119.717283,200,167.967798
-114.131419,200,169.359346
-1.515082,200,170.751393
-124.164205,200,172.145184
-121.527051,200,173.538338
-118.998132,200,174.92644
-118.42296,200,176.317734
-121.040105,200,177.707601
-122.012115,200,179.098002
-232.343761,200,180.489858
-118.050747,200,181.879784
-115.042888,200,183.271859
-1.315363,200,184.662423
-243.633667,200,186.056163
-236.156168,200,187.450341
-116.882105,200,188.842569
-1.790579,200,190.231889
-225.724782,200,191.621901
-227.117407,200,192.99502
-1.627899,200,194.385108
-126.517346,200,195.774474
-113.969358,200,197.164384
-228.906757,200,198.554541
-125.945861,200,199.945656
-117.656767,200,201.333432
-115.292856,200,202.721495
-125.705384,200,204.111496
-121.089517,200,205.50021
-114.945927,200,206.889313
-2.896981,200,208.276746
-118.010328,200,209.665536
-122.264653,200,211.058102
-373.939959,200,212.447159
-126.402794,200,213.8389
-1.319454,200,215.230181
-119.453959,200,216.617174
-1.600156,200,218.004714
-118.508368,200,219.396462
-127.988805,200,220.788216
-116.134575,200,222.17712
-2.458574,200,223.569671
-125.818673,200,224.963958
-241.81985,200,226.357569
-115.859323,200,227.750864
-228.164482,200,229.142733
-126.222744,200,230.53246
-119.588471,200,231.923796
-229.853275,200,233.318384
-230.746715,200,234.711676
-121.878725,200,236.108521
-121.848083,200,237.505514
-229.157936,200,238.90128
-126.345912,200,240.292608
-128.333707,200,241.691251
-1.25842,200,243.083159
-247.322556,200,244.475501
-1.609071,200,245.865848
